Month Name,Month,Year,Query Count,Query Text,Month Num,Volume,,,,,,,,,,,
January,1,2020,23,Arrests,1,Low,9894,,,,,,,,,,
January,1,2020,24,Assessor,1,Low,9261,,,,,,,,,,
January,1,2020,22,Assessor of property,1,Low,10472,,,,,,,,,,
January,1,2020,68,assessor of property/webpro,1,Medium,1833,,,,,,,,,,
January,1,2020,19,assisted living,1,Low,12942,,,,,,,,,,
January,1,2020,43,auction,1,Low,3912,,,,,,,,,,
January,1,2020,16,banner,1,Low,16227,,,,,,,,,,
January,1,2020,33,BAO,1,Low,5822,,,,,,,,,,
January,1,2020,12,barnes fund,1,Low,21410,,,,,,,,,,
January,1,2020,17,Barry inauguration,1,Low,15102,,,,,,,,,,
January,1,2020,37,beer board,1,Low,4896,,,,,,,,,,
January,1,2020,10,Bellevue,1,Low,24413,,,,,,,,,,
January,1,2020,18,Bellevue community center,1,Low,13846,,,,,,,,,,
January,1,2020,23,benefit board,1,Low,9894,,,,,,,,,,
January,1,2020,68,Benefits,1,Medium,1833,,,,,,,,,,
January,1,2020,25,bid,1,Low,8768,,,,,,,,,,
January,1,2020,43,bids,1,Low,3912,,,,,,,,,,
January,1,2020,91,Birth certificate,1,Medium,1118,,,,,,,,,,
January,1,2020,24,birth certificates,1,Low,9261,,,,,,,,,,
January,1,2020,11,Bl2019-109,1,Low,22840,,,,,,,,,,
January,1,2020,15,BL2019-111,1,Low,17757,,,,,,,,,,
January,1,2020,10,BL2019-1633,1,Low,24413,,,,,,,,,,
January,1,2020,12,bl2019-1659,1,Low,21410,,,,,,,,,,
January,1,2020,12,BL2019-78,1,Low,21410,,,,,,,,,,
January,1,2020,16,bond,1,Low,16227,,,,,,,,,,
January,1,2020,16,bookings,1,Low,16227,,,,,,,,,,
January,1,2020,13,bordeaux,1,Low,20168,,,,,,,,,,
January,1,2020,17,brush pick up,1,Low,15102,,,,,,,,,,
January,1,2020,19,Budget,1,Low,12942,,,,,,,,,,
January,1,2020,10,building,1,Low,24413,,,,,,,,,,
January,1,2020,34,building code,1,Low,5549,,,,,,,,,,
January,1,2020,17,building codes,1,Low,15102,,,,,,,,,,
January,1,2020,45,building permit,1,Low,3654,,,,,,,,,,
January,1,2020,10,building permit application,1,Low,24413,,,,,,,,,,
January,1,2020,11,building permit search,1,Low,22840,,,,,,,,,,
January,1,2020,75,building permits,1,Medium,1565,,,,,,,,,,
January,1,2020,15,Bulk,1,Low,17757,,,,,,,,,,
January,1,2020,20,bulk item,1,Low,11950,,,,,,,,,,
January,1,2020,12,Bulk item pickup,1,Low,21410,,,,,,,,,,
January,1,2020,23,Bulk item removal,1,Low,9894,,,,,,,,,,
January,1,2020,15,bulk pick up,1,Low,17757,,,,,,,,,,
January,1,2020,18,bulk pickup,1,Low,13846,,,,,,,,,,
January,1,2020,23,burn permit,1,Low,9894,,,,,,,,,,
January,1,2020,58,business license,1,Medium,2414,,,,,,,,,,
January,1,2020,19,business tax license,1,Low,12942,,,,,,,,,,
January,1,2020,10,buyout,1,Low,24413,,,,,,,,,,
January,1,2020,18,cafr,1,Low,13846,,,,,,,,,,
January,1,2020,16,calendar,1,Low,16227,,,,,,,,,,
January,1,2020,18,calender,1,Low,13846,,,,,,,,,,
January,1,2020,12,camping,1,Low,21410,,,,,,,,,,
January,1,2020,17,Car accident report,1,Low,15102,,,,,,,,,,
January,1,2020,22,career,1,Low,10472,,,,,,,,,,
January,1,2020,57,Careers,1,Medium,2492,,,,,,,,,,
January,1,2020,10,carrers,1,Low,24413,,,,,,,,,,
January,1,2020,23,Case number,1,Low,9894,,,,,,,,,,
January,1,2020,20,ccc,1,Low,11950,,,,,,,,,,
January,1,2020,16,Centennial park,1,Low,16227,,,,,,,,,,
January,1,2020,17,CENTRAL RECORDS,1,Low,15102,,,,,,,,,,
January,1,2020,22,central records division,1,Low,10472,,,,,,,,,,
January,1,2020,74,certificate of occupancy,1,Medium,1608,,,,,,,,,,
January,1,2020,14,Chancery Court,1,Low,18917,,,,,,,,,,
January,1,2020,18,charter,1,Low,13846,,,,,,,,,,
January,1,2020,14,chicken permit,1,Low,18917,,,,,,,,,,
January,1,2020,11,child support,1,Low,22840,,,,,,,,,,
January,1,2020,40,Christmas tree,1,Low,4351,,,,,,,,,,
January,1,2020,11,Christmas Tree Disposal,1,Low,22840,,,,,,,,,,
January,1,2020,10,Christmas tree recycling,1,Low,24413,,,,,,,,,,
January,1,2020,204,Christmas Tree-cycling,1,High,113,,,,,,,,,,
January,1,2020,10,circuit,1,Low,24413,,,,,,,,,,
January,1,2020,17,Circuit court,1,Low,15102,,,,,,,,,,
January,1,2020,25,citation,1,Low,8768,,,,,,,,,,
January,1,2020,71,civil service,1,Medium,1716,,,,,,,,,,
January,1,2020,11,civil service commission,1,Low,22840,,,,,,,,,,
January,1,2020,79,civil service rules,1,Medium,1429,,,,,,,,,,
January,1,2020,15,classes,1,Low,17757,,,,,,,,,,
January,1,2020,19,clerk,1,Low,12942,,,,,,,,,,
January,1,2020,20,clerk and master,1,Low,11950,,,,,,,,,,
January,1,2020,10,code,1,Low,24413,,,,,,,,,,
January,1,2020,11,code amendments,1,Low,22840,,,,,,,,,,
January,1,2020,161,codes,1,High,262,,,,,,,,,,
January,1,2020,10,codes administration,1,Low,24413,,,,,,,,,,
January,1,2020,14,Codes department,1,Low,18917,,,,,,,,,,
January,1,2020,15,codes violations,1,Low,17757,,,,,,,,,,
January,1,2020,13,commercial building permits,1,Low,20168,,,,,,,,,,
January,1,2020,12,commercial permit application,1,Low,21410,,,,,,,,,,
January,1,2020,10,community center,1,Low,24413,,,,,,,,,,
January,1,2020,21,community education,1,Low,11275,,,,,,,,,,
January,1,2020,12,community oversight board,1,Low,21410,,,,,,,,,,
January,1,2020,14,compost bins,1,Low,18917,,,,,,,,,,
January,1,2020,11,composting,1,Low,22840,,,,,,,,,,
January,1,2020,12,Contact,1,Low,21410,,,,,,,,,,
January,1,2020,19,contracts,1,Low,12942,,,,,,,,,,
January,1,2020,12,Convenience center,1,Low,21410,,,,,,,,,,
January,1,2020,10,convience centers,1,Low,24413,,,,,,,,,,
January,1,2020,16,copy of GED,1,Low,16227,,,,,,,,,,
January,1,2020,10,Copy of police report,1,Low,24413,,,,,,,,,,
January,1,2020,17,council,1,Low,15102,,,,,,,,,,
January,1,2020,31,county clerk,1,Low,6392,,,,,,,,,,
January,1,2020,15,Court,1,Low,17757,,,,,,,,,,
January,1,2020,16,Court records,1,Low,16227,,,,,,,,,,
January,1,2020,39,courts,1,Low,4519,,,,,,,,,,
January,1,2020,18,Crash report,1,Low,13846,,,,,,,,,,
January,1,2020,22,crime map,1,Low,10472,,,,,,,,,,
January,1,2020,14,crime mapping,1,Low,18917,,,,,,,,,,
January,1,2020,32,Criminal court,1,Low,6069,,,,,,,,,,
January,1,2020,54,criminal court clerk,1,Medium,2698,,,,,,,,,,
January,1,2020,22,criminal records,1,Low,10472,,,,,,,,,,
January,1,2020,16,cross connection,1,Low,16227,,,,,,,,,,
January,1,2020,14,Curby,1,Low,18917,,,,,,,,,,
January,1,2020,21,curfew,1,Low,11275,,,,,,,,,,
January,1,2020,13,DADU,1,Low,20168,,,,,,,,,,
January,1,2020,10,data,1,Low,24413,,,,,,,,,,
January,1,2020,16,"Davis, Joseph D",1,Low,16227,,,,,,,,,,
January,1,2020,11,dcso,1,Low,22840,,,,,,,,,,
January,1,2020,12,Death certificate,1,Low,21410,,,,,,,,,,
January,1,2020,12,deed,1,Low,21410,,,,,,,,,,
January,1,2020,25,deed of trust,1,Low,8768,,,,,,,,,,
January,1,2020,12,demo permit,1,Low,21410,,,,,,,,,,
January,1,2020,13,demolition,1,Low,20168,,,,,,,,,,
January,1,2020,18,demolition permit,1,Low,13846,,,,,,,,,,
January,1,2020,25,dental,1,Low,8768,,,,,,,,,,
January,1,2020,12,Desegregation,1,Low,21410,,,,,,,,,,
January,1,2020,10,detective,1,Low,24413,,,,,,,,,,
January,1,2020,10,development tracker,1,Low,24413,,,,,,,,,,
January,1,2020,10,dickerson north study,1,Low,24413,,,,,,,,,,
January,1,2020,35,directory,1,Low,5316,,,,,,,,,,
January,1,2020,10,districts,1,Low,24413,,,,,,,,,,
January,1,2020,52,divorce,1,Medium,2864,,,,,,,,,,
January,1,2020,46,DMV,1,Low,3497,,,,,,,,,,
January,1,2020,16,do not knock,1,Low,16227,,,,,,,,,,
January,1,2020,19,Docket,1,Low,12942,,,,,,,,,,
January,1,2020,17,Dogs,1,Low,15102,,,,,,,,,,
January,1,2020,13,DOMESTIC VIOLENCE,1,Low,20168,,,,,,,,,,
January,1,2020,15,Downtown Code,1,Low,17757,,,,,,,,,,
January,1,2020,31,drivers license,1,Low,6392,,,,,,,,,,
January,1,2020,21,Dump,1,Low,11275,,,,,,,,,,
January,1,2020,16,E permit,1,Low,16227,,,,,,,,,,
January,1,2020,45,e permits,1,Low,3654,,,,,,,,,,
January,1,2020,10,EAP,1,Low,24413,,,,,,,,,,
January,1,2020,16,early voting,1,Low,16227,,,,,,,,,,
January,1,2020,10,Easements,1,Low,24413,,,,,,,,,,
January,1,2020,60,ebid,1,Medium,2265,,,,,,,,,,
January,1,2020,10,ebt,1,Low,24413,,,,,,,,,,
January,1,2020,17,Education,1,Low,15102,,,,,,,,,,
January,1,2020,15,election,1,Low,17757,,,,,,,,,,
January,1,2020,16,election commission,1,Low,16227,,,,,,,,,,
January,1,2020,17,election results,1,Low,15102,,,,,,,,,,
January,1,2020,58,email,1,Medium,2414,,,,,,,,,,
January,1,2020,18,employee,1,Low,13846,,,,,,,,,,
January,1,2020,27,employee benefits,1,Low,7822,,,,,,,,,,
January,1,2020,14,employee portal,1,Low,18917,,,,,,,,,,
January,1,2020,177,employee self service,1,High,189,,,,,,,,,,
January,1,2020,11,Employee self services,1,Low,22840,,,,,,,,,,
January,1,2020,153,employment,1,High,313,,,,,,,,,,
January,1,2020,11,ems billing,1,Low,22840,,,,,,,,,,
January,1,2020,35,epermit,1,Low,5316,,,,,,,,,,
January,1,2020,41,epermits,1,Low,4203,,,,,,,,,,
January,1,2020,238,ESS,1,High,71,,,,,,,,,,
January,1,2020,10,excavation permit,1,Low,24413,,,,,,,,,,
January,1,2020,10,Excess funds,1,Low,24413,,,,,,,,,,
January,1,2020,20,Excess proceeds,1,Low,11950,,,,,,,,,,
January,1,2020,17,Executive order,1,Low,15102,,,,,,,,,,
January,1,2020,26,fairgrounds,1,Low,8239,,,,,,,,,,
January,1,2020,10,Farmers Market,1,Low,24413,,,,,,,,,,
January,1,2020,12,Fence,1,Low,21410,,,,,,,,,,
January,1,2020,19,fences,1,Low,12942,,,,,,,,,,
January,1,2020,111,finance,1,High,764,,,,,,,,,,
January,1,2020,19,financial empowerment,1,Low,12942,,,,,,,,,,
January,1,2020,23,financial empowerment center,1,Low,9894,,,,,,,,,,
January,1,2020,11,fingerprint,1,Low,22840,,,,,,,,,,
January,1,2020,11,fingerprinting,1,Low,22840,,,,,,,,,,
January,1,2020,50,Fire,1,Medium,3044,,,,,,,,,,
January,1,2020,46,Fire department,1,Low,3497,,,,,,,,,,
January,1,2020,13,fire dept,1,Low,20168,,,,,,,,,,
January,1,2020,12,fire marshal,1,Low,21410,,,,,,,,,,
January,1,2020,55,Fire recruit,1,Medium,2624,,,,,,,,,,
January,1,2020,10,Fire recruit application,1,Low,24413,,,,,,,,,,
January,1,2020,31,firefighter,1,Low,6392,,,,,,,,,,
January,1,2020,10,flu shots,1,Low,24413,,,,,,,,,,
January,1,2020,29,fmla,1,Low,7012,,,,,,,,,,
January,1,2020,11,food truck,1,Low,22840,,,,,,,,,,
January,1,2020,35,Forms,1,Low,5316,,,,,,,,,,
January,1,2020,17,fort negley,1,Low,15102,,,,,,,,,,
January,1,2020,13,fraud,1,Low,20168,,,,,,,,,,
January,1,2020,17,free school supplies,1,Low,15102,,,,,,,,,,
January,1,2020,10,freeman webb,1,Low,24413,,,,,,,,,,
January,1,2020,40,Ged,1,Low,4351,,,,,,,,,,
January,1,2020,16,General sessions court,1,Low,16227,,,,,,,,,,
January,1,2020,18,get new car title,1,Low,13846,,,,,,,,,,
January,1,2020,100,gis,1,Medium,939,,,,,,,,,,
January,1,2020,10,glass,1,Low,24413,,,,,,,,,,
January,1,2020,10,grading permit,1,Low,24413,,,,,,,,,,
January,1,2020,15,GUN PERMITS,1,Low,17757,,,,,,,,,,
January,1,2020,16,Head Start,1,Low,16227,,,,,,,,,,
January,1,2020,26,health department,1,Low,8239,,,,,,,,,,
January,1,2020,13,health permit,1,Low,20168,,,,,,,,,,
January,1,2020,15,health policy plan,1,Low,17757,,,,,,,,,,
January,1,2020,10,Help desk,1,Low,24413,,,,,,,,,,
January,1,2020,31,Hermitage community center,1,Low,6392,,,,,,,,,,
January,1,2020,38,holiday,1,Low,4689,,,,,,,,,,
January,1,2020,96,holidays,1,Medium,1005,,,,,,,,,,
January,1,2020,13,Homeschool,1,Low,20168,,,,,,,,,,
January,1,2020,12,horizontal property regime,1,Low,21410,,,,,,,,,,
January,1,2020,12,Hours,1,Low,21410,,,,,,,,,,
January,1,2020,13,housing codes,1,Low,20168,,,,,,,,,,
January,1,2020,70,hr,1,Medium,1750,,,,,,,,,,
January,1,2020,19,Hub,1,Low,12942,,,,,,,,,,
January,1,2020,200,human resources,1,High,123,,,,,,,,,,
January,1,2020,11,I supplier,1,Low,22840,,,,,,,,,,
January,1,2020,55,IM,1,Medium,2624,,,,,,,,,,
January,1,2020,18,immigration,1,Low,13846,,,,,,,,,,
January,1,2020,12,Imtoo,1,Low,21410,,,,,,,,,,
January,1,2020,17,incident report,1,Low,15102,,,,,,,,,,
January,1,2020,33,inmate,1,Low,5822,,,,,,,,,,
January,1,2020,10,Inmate information,1,Low,24413,,,,,,,,,,
January,1,2020,20,inmate locator,1,Low,11950,,,,,,,,,,
January,1,2020,132,inmate search,1,High,498,,,,,,,,,,
January,1,2020,38,Inmates,1,Low,4689,,,,,,,,,,
January,1,2020,36,Inside metro,1,Low,5095,,,,,,,,,,
January,1,2020,14,inspections,1,Low,18917,,,,,,,,,,
January,1,2020,24,insurance,1,Low,9261,,,,,,,,,,
January,1,2020,26,internship,1,Low,8239,,,,,,,,,,
January,1,2020,17,Internships,1,Low,15102,,,,,,,,,,
January,1,2020,25,iprocurement,1,Low,8768,,,,,,,,,,
January,1,2020,103,isupplier,1,High,885,,,,,,,,,,
January,1,2020,10,isupplier login,1,Low,24413,,,,,,,,,,
January,1,2020,42,jail,1,Low,4063,,,,,,,,,,
January,1,2020,10,jim fyke,1,Low,24413,,,,,,,,,,
January,1,2020,46,job,1,Low,3497,,,,,,,,,,
January,1,2020,14,Job descriptions,1,Low,18917,,,,,,,,,,
January,1,2020,36,job openings,1,Low,5095,,,,,,,,,,
January,1,2020,125,jobs,1,High,582,,,,,,,,,,
January,1,2020,10,john rutherford,1,Low,24413,,,,,,,,,,
January,1,2020,11,judges,1,Low,22840,,,,,,,,,,
January,1,2020,34,jury duty,1,Low,5549,,,,,,,,,,
January,1,2020,12,keith Roberts,1,Low,21410,,,,,,,,,,
January,1,2020,12,kiva,1,Low,21410,,,,,,,,,,
January,1,2020,12,lentz,1,Low,21410,,,,,,,,,,
January,1,2020,40,library,1,Low,4351,,,,,,,,,,
January,1,2020,13,lien,1,Low,20168,,,,,,,,,,
January,1,2020,14,lifeguard,1,Low,18917,,,,,,,,,,
January,1,2020,23,lisa butler,1,Low,9894,,,,,,,,,,
January,1,2020,31,log in,1,Low,6392,,,,,,,,,,
January,1,2020,23,Login,1,Low,9894,,,,,,,,,,
January,1,2020,18,luis canseco,1,Low,13846,,,,,,,,,,
January,1,2020,32,map,1,Low,6069,,,,,,,,,,
January,1,2020,46,mapping,1,Low,3497,,,,,,,,,,
January,1,2020,154,maps,1,High,305,,,,,,,,,,
January,1,2020,39,Marriage,1,Low,4519,,,,,,,,,,
January,1,2020,12,Marriage certificate,1,Low,21410,,,,,,,,,,
January,1,2020,44,marriage license,1,Low,3772,,,,,,,,,,
January,1,2020,11,mattie jones,1,Low,22840,,,,,,,,,,
January,1,2020,14,mattress,1,Low,18917,,,,,,,,,,
January,1,2020,14,MDHA,1,Low,18917,,,,,,,,,,
January,1,2020,26,media releases,1,Low,8239,,,,,,,,,,
January,1,2020,14,melody huddleston,1,Low,18917,,,,,,,,,,
January,1,2020,19,metro action,1,Low,12942,,,,,,,,,,
January,1,2020,11,metro charter,1,Low,22840,,,,,,,,,,
January,1,2020,13,Metro Clerk,1,Low,20168,,,,,,,,,,
January,1,2020,11,metro code,1,Low,22840,,,,,,,,,,
January,1,2020,11,Metro Codes,1,Low,22840,,,,,,,,,,
January,1,2020,25,Metro Council,1,Low,8768,,,,,,,,,,
January,1,2020,11,metro holiday,1,Low,22840,,,,,,,,,,
January,1,2020,27,metro holidays,1,Low,7822,,,,,,,,,,
January,1,2020,20,metro parks,1,Low,11950,,,,,,,,,,
January,1,2020,17,metro schools,1,Low,15102,,,,,,,,,,
January,1,2020,20,metro social services,1,Low,11950,,,,,,,,,,
January,1,2020,82,Metro water,1,Medium,1342,,,,,,,,,,
January,1,2020,18,Metro Water Services,1,Low,13846,,,,,,,,,,
January,1,2020,20,"Mike Urquhart is a Lying Laywer!!! (Jude he is capable of being!) You have enough crooked Dem. and Rep. Cro  Payee Nashville, Tennessee Centerstone (FBI Government) Semi-Disabilities - Minor Learning Disabilities - Minor Learning Disability - Sloss",1,Low,11950,,,,,,,,,,
January,1,2020,21,missing person,1,Low,11275,,,,,,,,,,
January,1,2020,11,MNPS,1,Low,22840,,,,,,,,,,
January,1,2020,39,mugshots,1,Low,4519,,,,,,,,,,
January,1,2020,24,name change,1,Low,9261,,,,,,,,,,
January,1,2020,18,Nashville,1,Low,13846,,,,,,,,,,
January,1,2020,38,Nashville Cumberlands Basketball Team,1,Low,4689,,,,,,,,,,
January,1,2020,11,nashville homeowner associations,1,Low,22840,,,,,,,,,,
January,1,2020,13,nashville zoo,1,Low,20168,,,,,,,,,,
January,1,2020,577,nashvillecumberlands.gov@gmail.com,1,High,9,,,,,,,,,,
January,1,2020,24,Naza,1,Low,9261,,,,,,,,,,
January,1,2020,57,notary,1,Medium,2492,,,,,,,,,,
January,1,2020,16,Notary application,1,Low,16227,,,,,,,,,,
January,1,2020,27,notary public,1,Low,7822,,,,,,,,,,
January,1,2020,11,online permits,1,Low,22840,,,,,,,,,,
January,1,2020,21,open bids,1,Low,11275,,,,,,,,,,
January,1,2020,29,Open data,1,Low,7012,,,,,,,,,,
January,1,2020,62,opportunity now,1,Medium,2152,,,,,,,,,,
January,1,2020,59,oracle,1,Medium,2352,,,,,,,,,,
January,1,2020,13,oracle r12,1,Low,20168,,,,,,,,,,
January,1,2020,15,ordinance,1,Low,17757,,,,,,,,,,
January,1,2020,24,ordinances,1,Low,9261,,,,,,,,,,
January,1,2020,46,owner driver report,1,Low,3497,,,,,,,,,,
January,1,2020,15,owner driver report form,1,Low,17757,,,,,,,,,,
January,1,2020,23,Parcel viewer,1,Low,9894,,,,,,,,,,
January,1,2020,18,park,1,Low,13846,,,,,,,,,,
January,1,2020,30,parking,1,Low,6674,,,,,,,,,,
January,1,2020,49,parks,1,Low,3146,,,,,,,,,,
January,1,2020,30,parks and recreation,1,Low,6674,,,,,,,,,,
January,1,2020,11,part replacement,1,Low,22840,,,,,,,,,,
January,1,2020,28,parthenon,1,Low,7373,,,,,,,,,,
January,1,2020,86,Passport,1,Medium,1234,,,,,,,,,,
January,1,2020,44,pay,1,Low,3772,,,,,,,,,,
January,1,2020,35,Pay bill,1,Low,5316,,,,,,,,,,
January,1,2020,14,pay parking ticket,1,Low,18917,,,,,,,,,,
January,1,2020,37,pay plan,1,Low,4896,,,,,,,,,,
January,1,2020,22,pay property tax,1,Low,10472,,,,,,,,,,
January,1,2020,29,pay property taxes,1,Low,7012,,,,,,,,,,
January,1,2020,12,pay roll,1,Low,21410,,,,,,,,,,
January,1,2020,32,pay scale,1,Low,6069,,,,,,,,,,
January,1,2020,20,pay stub,1,Low,11950,,,,,,,,,,
January,1,2020,14,pay taxes,1,Low,18917,,,,,,,,,,
January,1,2020,15,pay water bill,1,Low,17757,,,,,,,,,,
January,1,2020,11,Paycheck,1,Low,22840,,,,,,,,,,
January,1,2020,12,payment,1,Low,21410,,,,,,,,,,
January,1,2020,358,payroll,1,High,12,,,,,,,,,,
January,1,2020,109,pension,1,High,795,,,,,,,,,,
January,1,2020,31,pension calculator,1,Low,6392,,,,,,,,,,
January,1,2020,19,pension self service,1,Low,12942,,,,,,,,,,
January,1,2020,41,permit,1,Low,4203,,,,,,,,,,
January,1,2020,15,permit bond,1,Low,17757,,,,,,,,,,
January,1,2020,11,permit tracking,1,Low,22840,,,,,,,,,,
January,1,2020,103,Permits,1,High,885,,,,,,,,,,
January,1,2020,18,phone number,1,Low,13846,,,,,,,,,,
January,1,2020,15,Pickleball,1,Low,17757,,,,,,,,,,
January,1,2020,83,planning,1,Medium,1301,,,,,,,,,,
January,1,2020,48,planning commission,1,Low,3259,,,,,,,,,,
January,1,2020,11,planning department,1,Low,22840,,,,,,,,,,
January,1,2020,16,plans development checklist,1,Low,16227,,,,,,,,,,
January,1,2020,103,Police,1,High,885,,,,,,,,,,
January,1,2020,50,police department,1,Medium,3044,,,,,,,,,,
January,1,2020,15,police organization chart,1,Low,17757,,,,,,,,,,
January,1,2020,131,police report,1,High,510,,,,,,,,,,
January,1,2020,65,Police reports,1,Medium,1975,,,,,,,,,,
January,1,2020,16,pool permits,1,Low,16227,,,,,,,,,,
January,1,2020,12,population,1,Low,21410,,,,,,,,,,
January,1,2020,25,pothole repair,1,Low,8768,,,,,,,,,,
January,1,2020,11,Pottery,1,Low,22840,,,,,,,,,,
January,1,2020,68,procurement,1,Medium,1833,,,,,,,,,,
January,1,2020,12,procurement code,1,Low,21410,,,,,,,,,,
January,1,2020,14,Promise zone,1,Low,18917,,,,,,,,,,
January,1,2020,80,property,1,Medium,1397,,,,,,,,,,
January,1,2020,48,Property assessor,1,Low,3259,,,,,,,,,,
January,1,2020,11,property assessors,1,Low,22840,,,,,,,,,,
January,1,2020,11,Property lines,1,Low,22840,,,,,,,,,,
January,1,2020,38,property map,1,Low,4689,,,,,,,,,,
January,1,2020,132,Property Maps,1,High,498,,,,,,,,,,
January,1,2020,15,property owner,1,Low,17757,,,,,,,,,,
January,1,2020,45,property search,1,Low,3654,,,,,,,,,,
January,1,2020,96,property tax,1,Medium,1005,,,,,,,,,,
January,1,2020,28,property tax records,1,Low,7373,,,,,,,,,,
January,1,2020,101,property taxes,1,High,915,,,,,,,,,,
January,1,2020,11,Public library,1,Low,22840,,,,,,,,,,
January,1,2020,12,public record,1,Low,21410,,,,,,,,,,
January,1,2020,42,public records,1,Low,4063,,,,,,,,,,
January,1,2020,10,Public Records Request,1,Low,24413,,,,,,,,,,
January,1,2020,92,public works,1,Medium,1092,,,,,,,,,,
January,1,2020,48,purchasing,1,Low,3259,,,,,,,,,,
January,1,2020,10,quick links,1,Low,24413,,,,,,,,,,
January,1,2020,12,quit claim deed,1,Low,21410,,,,,,,,,,
January,1,2020,36,r12,1,Low,5095,,,,,,,,,,
January,1,2020,13,r15,1,Low,20168,,,,,,,,,,
January,1,2020,13,Real estate,1,Low,20168,,,,,,,,,,
January,1,2020,14,real estate search,1,Low,18917,,,,,,,,,,
January,1,2020,16,real estate taxes,1,Low,16227,,,,,,,,,,
January,1,2020,14,recent bookings,1,Low,18917,,,,,,,,,,
January,1,2020,51,records,1,Medium,2959,,,,,,,,,,
January,1,2020,10,records division,1,Low,24413,,,,,,,,,,
January,1,2020,48,recycle,1,Low,3259,,,,,,,,,,
January,1,2020,22,recycle centers,1,Low,10472,,,,,,,,,,
January,1,2020,15,recycle locations,1,Low,17757,,,,,,,,,,
January,1,2020,10,recycled glass,1,Low,24413,,,,,,,,,,
January,1,2020,79,recycling,1,Medium,1429,,,,,,,,,,
January,1,2020,47,register of deeds,1,Low,3375,,,,,,,,,,
January,1,2020,14,registration,1,Low,18917,,,,,,,,,,
January,1,2020,31,report,1,Low,6392,,,,,,,,,,
January,1,2020,16,report accident,1,Low,16227,,,,,,,,,,
January,1,2020,24,Reports,1,Low,9261,,,,,,,,,,
January,1,2020,35,Retirement,1,Low,5316,,,,,,,,,,
January,1,2020,13,RFP,1,Low,20168,,,,,,,,,,
January,1,2020,10,Ride along,1,Low,24413,,,,,,,,,,
January,1,2020,14,riverfront park,1,Low,18917,,,,,,,,,,
January,1,2020,31,road closures,1,Low,6392,,,,,,,,,,
January,1,2020,56,salaries,1,Medium,2553,,,,,,,,,,
January,1,2020,57,salary,1,Medium,2492,,,,,,,,,,
January,1,2020,10,Salemtown,1,Low,24413,,,,,,,,,,
January,1,2020,12,sample ballot,1,Low,21410,,,,,,,,,,
January,1,2020,13,schools,1,Low,20168,,,,,,,,,,
January,1,2020,15,scooter,1,Low,17757,,,,,,,,,,
January,1,2020,15,Scott Potter,1,Low,17757,,,,,,,,,,
January,1,2020,20,Search Nashville.gov,1,Low,11950,,,,,,,,,,
January,1,2020,45,Self service,1,Low,3654,,,,,,,,,,
January,1,2020,12,SELL SANDWICHES OUT OF A BASKET,1,Low,21410,,,,,,,,,,
January,1,2020,17,Sevier park,1,Low,15102,,,,,,,,,,
January,1,2020,12,Sevier park community center,1,Low,21410,,,,,,,,,,
January,1,2020,19,sewer maps,1,Low,12942,,,,,,,,,,
January,1,2020,16,sewer tap,1,Low,16227,,,,,,,,,,
January,1,2020,29,sex offenders,1,Low,7012,,,,,,,,,,
January,1,2020,11,Shared domicile form,1,Low,22840,,,,,,,,,,
January,1,2020,16,Shelby park,1,Low,16227,,,,,,,,,,
January,1,2020,30,sheriff,1,Low,6674,,,,,,,,,,
